variable,audit_layer,official_2024_description,official_2024_page,in_original_X,substantive_codes_2024,missing_or_niu_2024,relationship_note,cross_year_status,admission_status
SEX_A,anchor,Sex of Sample Adult,19,false,"1;2","7;8;9",Existing anchor; public-use recode; not a new finding,"2022-2024 local registry; full annual codebook recheck pending",ANCHOR_PENDING_REFERENCE_FREEZE
HISPALLP_A,anchor,Single and multiple race groups with Hispanic origin,25,false,"1;2;3;4;5;6;7","97;98;99",Existing seven-category anchor; includes imputed race/origin when unknown; do not collapse to White/non-White,"2022-2024 local registry; full annual codebook recheck pending",ANCHOR_PENDING_REFERENCE_FREEZE
DISAB3_A,anchor,Disability status based on six Washington Group functioning domains,181,false,"1;2","9",Constructed from six functional items; not independent of component O candidates,"2022-2024 local registry; full annual codebook recheck pending",ANCHOR_PENDING_REFERENCE_FREEZE
AGEP_A,socioeconomic_or_demographic,Age of Sample Adult top-coded at 85,21,true,"18-85","97;98;99",Continuous/high-cardinality; grouping rule must be frozen before performance,"2022-2024 frozen feature registry; annual codebook harmonization pending",CANDIDATE_PENDING_GROUP_RULE
EDUCP_A,socioeconomic_or_demographic,Highest level of school completed,26,true,"0-10","97;98;99",Ordinal; frozen X registry omitted official code 00 because observed frequency was zero,"2022-2024 targeted checks exist; comprehensive harmonization pending",CANDIDATE_PENDING_CROSS_YEAR_REVIEW
REGION,living_context,Household region,6,true,"1;2;3;4","none",Region is not urban/rural and is initially a context slice,"2022-2024 frozen feature registry; annual codebook harmonization pending",CANDIDATE_PENDING_CROSS_YEAR_REVIEW
PCNT18UPTC,living_context,Number of adults age 18 and older in household top-coded at 3,17,true,"1;2;3","0;8 if present",Household count is not proof of living alone or caregiving,"2022-2024 frozen feature registry; annual codebook harmonization pending",CANDIDATE_PENDING_GROUP_RULE
PCNTLT18TC,living_context,Number of children under age 18 in household top-coded at 3,18,true,"0;1;2;3","8 if present",Household count is a context slice not a protected-status claim,"2022-2024 frozen feature registry; annual codebook harmonization pending",CANDIDATE_PENDING_GROUP_RULE
RATCAT_A,socioeconomic_or_demographic,Ratio of family income to poverty threshold categorized into 14 levels,611,true,"1-14","98",Released variable uses CDC income imputation; cannot be called original complete income,"2022-2024 targeted checks exist; comprehensive harmonization pending",CANDIDATE_PENDING_GROUP_RULE
EMPWRKLSW1_A,socioeconomic_or_demographic,Worked at a job or business last week,577,true,"1;2","7;8;9;structural NIU",Employment routing/temporary absence/seasonal/contract/unpaid work semantics require domain review,"2022-2024 targeted checks exist; comprehensive harmonization pending",CANDIDATE_PENDING_ROUTING_REVIEW
EMPWRKFT1_A,socioeconomic_or_demographic,Usually worked 35 or more hours per week,580,true,"1;2","7;8;9;structural NIU",In-universe only under employment recode; NIU cannot be merged with a substantive category,"2022-2024 targeted checks exist; comprehensive harmonization pending",CANDIDATE_PENDING_ROUTING_REVIEW
NOTCOV_A,socioeconomic_or_demographic,Health insurance coverage status at interview,187,true,"1;2","7;8;9",Insurance is directly relevant to access but not a causal explanation of model disparity,"2022-2024 frozen feature registry; annual codebook harmonization pending",CANDIDATE_PENDING_CROSS_YEAR_REVIEW
PHSTAT_A,clinical_context,General health status,32,true,"1;2;3;4;5","7;8;9",Clinical-need/performance slice; equal error is not automatically the normative target,"2022-2024 frozen feature registry; annual codebook harmonization pending",CANDIDATE_PENDING_ROLE_REVIEW
HYPEV_A,clinical_context,Ever told had hypertension,34,true,"1;2","7;8;9",Clinical context and possible need heterogeneity,"2022-2024 frozen feature registry; annual codebook harmonization pending",CANDIDATE_PENDING_ROLE_REVIEW
CHLEV_A,clinical_context,Ever told had high cholesterol,38,true,"1;2","7;8;9",Clinical context and possible need heterogeneity,"2022-2024 frozen feature registry; annual codebook harmonization pending",CANDIDATE_PENDING_ROLE_REVIEW
DIBEV_A,clinical_context,Ever told had diabetes,113,true,"1;2","7;8;9",Clinical context and possible need heterogeneity,"2022-2024 frozen feature registry; annual codebook harmonization pending",CANDIDATE_PENDING_ROLE_REVIEW
ASEV_A,clinical_context,Ever told had asthma,45,true,"1;2","7;8;9",Clinical context and possible need heterogeneity,"2022-2024 frozen feature registry; annual codebook harmonization pending",CANDIDATE_PENDING_ROLE_REVIEW
VISIONDF_A,functional_status,Difficulty seeing even when wearing glasses or contact lenses,152,true,"1;2;3;4","7;8;9",Component of DISAB3_A; correlated/nested evidence cannot be counted as independent discovery,"2022-2024 frozen feature registry; annual codebook harmonization pending",CANDIDATE_PENDING_NESTING_RULE
HEARINGDF_A,functional_status,Difficulty hearing even when using hearing aid,155,true,"1;2;3;4","7;8;9",Component of DISAB3_A; correlated/nested evidence cannot be counted as independent discovery,"2022-2024 frozen feature registry; annual codebook harmonization pending",CANDIDATE_PENDING_NESTING_RULE
DIFF_A,functional_status,Difficulty walking or climbing steps,158,true,"1;2;3;4","7;8;9",Component of DISAB3_A; correlated/nested evidence cannot be counted as independent discovery,"2022-2024 frozen feature registry; annual codebook harmonization pending",CANDIDATE_PENDING_NESTING_RULE
COMDIFF_A,functional_status,Difficulty communicating or being understood,172,true,"1;2;3;4","7;8;9",Component of DISAB3_A; correlated/nested evidence cannot be counted as independent discovery,"2022-2024 frozen feature registry; annual codebook harmonization pending",CANDIDATE_PENDING_NESTING_RULE
COGMEMDFF_A,functional_status,Difficulty remembering or concentrating,174,true,"1;2;3;4","7;8;9",Component of DISAB3_A; correlated/nested evidence cannot be counted as independent discovery,"2022-2024 frozen feature registry; annual codebook harmonization pending",CANDIDATE_PENDING_NESTING_RULE
UPPSLFCR_A,functional_status,Difficulty with self-care such as washing or dressing,178,true,"1;2;3;4","7;8;9",Component of DISAB3_A; correlated/nested evidence cannot be counted as independent discovery,"2022-2024 frozen feature registry; annual codebook harmonization pending",CANDIDATE_PENDING_NESTING_RULE
USUALPL_A,living_context,Place usually go when sick or needing health advice,326,true,"1;2;3","7;8;9",Access context; not a causal mechanism and must be checked for outcome-proximal interpretation,"2022-2024 frozen feature registry; annual codebook harmonization pending",CANDIDATE_PENDING_PROXIMITY_REVIEW
